Years since 1979,Sea ice (million km²),Year
0,7.19,1979
1,7.83,1980
2,7.24,1981
3,7.44,1982
4,7.51,1983
5,7.1,1984
6,6.91,1985
7,7.53,1986
8,7.47,1987
9,7.48,1988
10,7.03,1989
11,6.23,1990
12,6.54,1991
13,7.54,1992
14,6.5,1993
15,7.18,1994
16,6.12,1995
17,7.87,1996
18,6.73,1997
19,6.55,1998
20,6.23,1999
21,6.31,2000
22,6.74,2001
23,5.95,2002
24,6.13,2003
25,6.04,2004
26,5.56,2005
27,5.91,2006
28,4.29,2007
29,4.72,2008
3,5.38,2009
31,4.92,2010
32,4.61,2011
33,3.62,2012
34,5.35,2013
35,5.28,2014
36,4.63,2015
37,4.72,2016
